x_kt,y_ft,z_nm
400,3000,8.38
400,2000,8.38
400,11000,11.14
400,14000,12.06
400,9000,10.22
400,1000,7.91
400,13000,11.60
400,8000,10.22
400,5000,9.30
400,12000,11.60
400,15000,12.52
400,7000,9.76
400,16000,12.98
400,4000,8.84
400,10000,10.68
400,6000,9.30
400,19000,14.37
400,18000,13.91
400,21000,15.75
400,30000,20.82
400,27000,18.98
400,25000,17.59
400,31000,21.28
400,28000,19.44
400,29000,20.36
400,17000,13.45
400,20000,14.83
400,24000,17.13
400,32000,22.20
400,34000,23.13
400,35000,24.05
400,23000,16.67
400,26000,18.52
400,37000,24.97
400,43000,28.20
400,41000,27.27
400,22000,16.21
400,44000,28.66
400,45000,29.12
410,1000,7.91
400,33000,22.66
400,36000,24.51
400,40000,26.35
410,2000,7.91
410,3000,8.38
400,39000,25.89
410,14000,12.06
400,42000,27.73
410,6000,9.30
400,38000,25.43
410,12000,11.14
410,16000,12.98
410,5000,8.84
410,8000,9.76
410,17000,13.45
410,18000,13.91
410,15000,12.52
410,7000,9.30
410,11000,10.68
410,19000,14.37
410,30000,20.82
410,13000,11.60
410,10000,10.68
410,4000,8.84
410,28000,19.44
410,34000,23.13
410,21000,15.29
410,32000,22.20
410,33000,22.66
410,9000,10.22
410,31000,21.28
410,22000,16.21
410,24000,17.13
410,44000,28.66
410,23000,16.67
410,27000,18.98
410,35000,23.59
410,20000,14.83
420,4000,8.38
420,1000,7.45
410,37000,24.97
410,29000,19.90
420,3000,7.91
410,26000,18.05
420,2000,7.91
410,25000,17.59
410,38000,25.43
410,40000,26.35
420,15000,12.06
410,43000,28.20
410,39000,25.89
420,5000,8.84
410,36000,24.51
420,20000,14.83
410,45000,29.12
410,42000,27.73
420,19000,13.91
420,17000,12.98
410,41000,27.27
420,6000,8.84
420,31000,21.28
420,8000,9.76
420,14000,11.60
420,18000,13.45
420,21000,15.29
420,10000,10.22
420,9000,9.76
420,11000,10.68
420,36000,24.51
420,7000,9.30
420,33000,22.66
420,22000,15.75
420,34000,23.13
420,35000,23.59
420,13000,11.14
420,16000,12.52
430,2000,7.91
420,12000,11.14
420,37000,24.97
420,30000,20.82
420,24000,17.13
420,25000,17.59
430,4000,8.38
430,5000,8.38
420,27000,18.52
420,26000,18.05
420,38000,25.43
420,32000,21.74
420,28000,19.44
420,23000,16.67
420,29000,19.90
430,7000,9.30
430,18000,13.45
420,41000,26.81
420,40000,26.35
430,1000,7.45
420,42000,27.73
420,43000,28.20
430,6000,8.84
430,20000,14.83
430,8000,9.76
430,21000,15.29
420,44000,28.66
420,45000,29.12
420,39000,25.89
430,3000,7.91
430,34000,23.13
430,22000,15.75
430,12000,11.14
430,9000,9.76
430,15000,12.06
430,17000,12.98
430,13000,11.14
430,14000,11.60
430,36000,24.05
430,37000,24.97
430,23000,16.21
430,11000,10.68
430,24000,16.67
440,5000,8.38
430,19000,13.91
430,38000,25.43
430,16000,12.52
430,10000,10.22
430,28000,19.44
430,33000,22.20
430,31000,21.28
430,25000,17.59
430,39000,25.89
430,30000,20.36
430,40000,26.35
440,21000,15.29
430,29000,19.90
430,27000,18.52
440,8000,9.30
430,44000,28.66
430,41000,26.81
440,7000,8.84
430,32000,21.74
430,35000,23.59
440,2000,7.45
440,4000,7.91
430,26000,18.05
430,45000,28.66
440,10000,10.22
430,43000,27.73
440,9000,9.76
440,37000,24.97
440,1000,7.45
440,11000,10.22
440,15000,12.06
440,3000,7.91
440,24000,16.67
430,42000,27.27
440,18000,13.45
440,20000,14.37
